mual,muntah,perih di ulu hati,riwayat makan tidak teratur/makan pedas/asam;maag,migrain;maag;0.45636
detak jantung tak teratur,kehilangan nafsu makan,kelelahan,lemas,pusing;anemia,hepatitis A;anemia;0.52939
buang air besar lebih dari 2 kali sehari,dehidrasi,mual,muntah,sakit kepala;demam berdarah dengue,diare akut;diare akut;0.41271
bercak merah dan tidak gatal pada kulit,demam tinggi,mual,muntah;demam berdarah dengue,penyakit jantung koroner;demam berdarah dengue;0.42515
batuk,bintik-bintik pada amandel,demam,sakit tenggorokan;rinosinusitis,tonsilitis/amandel;faringitis;0.54389
demam tinggi di malam hari,mual,muntah,nyeri otot,pusing;demam berdarah dengue,demam tifoid;demam tifoid;0.35755
mual,muntah,perih di ulu hati,rasa asam di mulut,sakit kepala;maag,demam berdarah dengue;maag;0.4452
demam tinggi di malam hari,kehilangan nafsu makan,mual,muntah;migrain,demam tifoid;demam tifoid;0.32186
demam,napas bau,pembengkakan kelenjar getah bening di leher,sakit kepala;diare akut,tonsilitis/amandel;tonsilitis/amandel;0.40457
kehilangan nafsu makan,mual,muntah,nyeri kepala;migrain,hepatitis A;hepatitis A;0.37434
batuk,demam,hidung berair,hidung tersumbat,sakit tenggorokan;faringitis,infeksi saluran napas akut;faringitis;0.54389
demam,gangguan pendengaran,nyeri bagian telinga,riwayat hidung berair sebelumnya,tidak bisa tidur / insomnia;otitis media efusi,otitis media supuratif kronik;otitis media akut;0.62811
batuk,demam,kelelahan,sakit tenggorokan,tubuh terasa sakit;infeksi saluran napas akut,tonsilitis/amandel;faringitis;0.54389
bersin-bersin,mata berair,mata merah,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,konjungtivitis/mata merah;campak;0.33577
demam,hidung berair,kelelahan,tubuh terasa sakit;hepatitis A,infeksi saluran napas akut;infeksi saluran napas akut;0.3844
diare,kehilangan nafsu makan,mual,muntah;migrain,demam tifoid;demam tifoid;0.32186
batuk,demam,sakit kepala,sakit tenggorokan;diare akut,tonsilitis/amandel;faringitis;0.54389
bercak merah dan tidak gatal pada kulit,lemas,mual,muntah;demam berdarah dengue,migrain;demam berdarah dengue;0.35882
kehilangan nafsu makan,kelelahan,mata berair,mata merah;anemia,campak;konjungtivitis/mata merah;0.35371
demam tinggi di malam hari,kehilangan nafsu makan,mual,pusing;anemia,demam tifoid;hepatitis A;0.31994
demam tinggi,kehilangan nafsu makan,kelelahan,mata merah;campak,hepatitis A;campak;0.40631
kehilangan nafsu makan,kelelahan,mual,muntah,nyeri kepala,pusing;penyakit jantung koroner,hepatitis A;hepatitis A;0.42439
diare,kehilangan nafsu makan,mual,muntah,nyeri kepala,pusing,sembelit;hepatitis A,demam tifoid;demam tifoid;0.48858
kehilangan nafsu makan,kram perut,mengeden saat buang air besar,tinja keras;konstipasi/sembelit,diare akut;konstipasi/sembelit;0.45322
dehidrasi,kehilangan nafsu makan,kram perut,mual;konstipasi/sembelit,diare akut;diare akut;0.34292
detak jantung tak teratur,lemas,riwayat konsumsi obat antihipertensi,sakit kepala belakang,sesak napas;anemia,hipertensi;hipertensi;0.62733
mual,muntah,sakit kepala sebagian kiri atau kanan,sensitif terhadap suara;migrain,diare akut;migrain;0.52839
kehilangan nafsu makan,kram perut,muntah,sakit kepala;konstipasi/sembelit,diare akut;diare akut;0.30427
kehilangan nafsu makan,mual,muntah,sakit kepala;migrain,diare akut;hepatitis A;0.31994
bercak merah dan tidak gatal pada kulit,demam turun pada hari keempat tanpa obat,mual,muntah,sakit kepala;demam berdarah dengue,diare akut;demam berdarah dengue;0.46224
batuk,demam,tercium bau tidak sedap jika menunduk,tidak bisa atau kurang bisa mencium bau;rinosinusitis,tonsilitis/amandel;rinosinusitis;0.40448
bersin-bersin,hidung berair,kelelahan,paru-paru terhambat;campak,infeksi saluran napas akut;infeksi saluran napas akut;0.36073
lidah tertutup selaput putih kotor,mual,muntah,nyeri kepala,pusing;penyakit jantung koroner,demam tifoid;demam tifoid;0.37837
batuk,demam,hidung tersumbat,nyeri wajah;rinosinusitis,faringitis;rinosinusitis;0.47228
detak jantung tak teratur,kehilangan nafsu makan,lemas,pusing;anemia,demam tifoid;anemia;0.39493
kelelahan,mual,muntah,pusing;demam berdarah dengue,penyakit jantung koroner;penyakit jantung koroner;0.31699
mata berair,mata nyeri,riwayat kelilipan / trauma pada mata (ketusuk),sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.60403
demam tinggi,lemas,mual,muntah;demam berdarah dengue,hepatitis A;demam berdarah dengue;0.38257
bersin-bersin,kelelahan,sakit tenggorokan,tubuh terasa sakit;campak,infeksi saluran napas akut;infeksi saluran napas akut;0.28696
demam tinggi,kehilangan nafsu makan,mata berair,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
batuk,demam,sakit saat menelan,sakit tenggorokan;rinosinusitis,tonsilitis/amandel;faringitis;0.54389
detak jantung tak teratur,kehilangan nafsu makan,kelelahan,pusing;anemia,campak;anemia;0.41174
demam tinggi,mata berair,mata merah,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,konjungtivitis/mata merah;campak;0.36234
bersin-bersin,kelelahan,mata berair,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,rintis alergi;campak;0.38158
demam,kehilangan nafsu makan,kelelahan,muntah;campak,hepatitis A;hepatitis A;0.43122
batuk,demam,sakit kepala,sakit saat menelan,sakit tenggorokan;faringitis,tonsilitis/amandel;faringitis;0.54389
batuk,demam,hidung berair,kelelahan;hepatitis A,infeksi saluran napas akut;infeksi saluran napas akut;0.44809
mual,muntah,nyeri otot,nyeri untuk melirik;demam berdarah dengue,hepatitis A;demam berdarah dengue;0.35882
kehilangan nafsu makan,lidah tertutup selaput putih kotor,mual,muntah;migrain,demam tifoid;demam tifoid;0.32186
bersendawa,mual,muntah,sakit kepala;maag,migrain;maag;0.38111
demam,kelelahan,mual,nyeri kepala;varisela / cacar air,hepatitis A;hepatitis A;0.40413
diare,kehilangan nafsu makan,lidah tertutup selaput putih kotor,sembelit;demam tifoid,irritable bowel syndrome;irritable bowel syndrome;0.40289
bersin-bersin,debu),dipengaruhi oleh makanan / keadaan tertentu (dingin,hidung berair,hidung gatal,hidung tersumbat;rintis alergi,infeksi saluran napas akut;rintis alergi;0.56024
batuk,bersin-bersin,hidung berair,hidung tersumbat,sakit tenggorokan;rintis alergi,infeksi saluran napas akut;infeksi saluran napas akut;0.50081
dipengaruhi oleh siklus menstruasi atau makanan tertentu (kopi,mual,muntah,sensitif terhadap cahaya;demam berdarah dengue,migrain;migrain;0.47599
bersin-bersin,kehilangan nafsu makan,mata berair,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,rintis alergi;campak;0.38158
demam,kelelahan,muntah,pusing;hepatitis A,infeksi saluran napas akut;hepatitis A;0.37705
demam,kehilangan nafsu makan,kelelahan,mual,muntah,pusing;hepatitis A,diare akut;hepatitis A;0.53952
demam turun pada hari keempat tanpa obat,mual,muntah,nyeri untuk melirik;demam berdarah dengue,penyakit jantung koroner;demam berdarah dengue;0.42515
bersendawa,mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,sakit kepala;maag,diare akut;maag;0.4439
bersin-bersin,mata berair,mata merah,sensitif terhadap cahaya;campak,rintis alergi;keratitis akut;0.38752
kehilangan nafsu makan,kelelahan,kulit kekuningan,nyeri kepala,pusing;anemia,hepatitis A;hepatitis A;0.43122
dipengaruhi oleh siklus menstruasi atau makanan tertentu (kopi,mual,muntah,sensitif terhadap cahaya;migrain,hepatitis A;migrain;0.47599
mual,muntah,nyeri kepala,pusing;demam berdarah dengue,hepatitis A;maag;0.31124
lidah tertutup selaput putih kotor,mual,muntah,pusing,sembelit;penyakit jantung koroner,demam tifoid;demam tifoid;0.41109
bercak merah dan tidak gatal pada kulit,demam turun pada hari keempat tanpa obat,mual,muntah,nyeri otot;demam berdarah dengue,demam tifoid;demam berdarah dengue;0.46224
demam,kehilangan nafsu makan,kram perut,mual;konstipasi/sembelit,diare akut;hepatitis A;0.40864
demam turun pada hari keempat tanpa obat,mual,muntah,nyeri otot;demam berdarah dengue,penyakit jantung koroner;demam berdarah dengue;0.38257
bersin-bersin,hidung berair,hidung tersumbat,paru-paru terhambat,sakit tenggorokan;rintis alergi,infeksi saluran napas akut;infeksi saluran napas akut;0.44321
batuk,demam,hidung berair,kelelahan,sakit tenggorokan;infeksi saluran napas akut,tonsilitis/amandel;faringitis;0.54389
mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,sakit kepala;maag,penyakit jantung koroner;maag;0.38111
kesemutan,lemas,mudah haus,penglihatan kabur;diabetes melitus,hipertensi;diabetes melitus;0.39291
demam tinggi di malam hari,lidah tertutup selaput putih kotor,mual,muntah;migrain,demam tifoid;demam tifoid;0.37837
batuk,demam,paru-paru terhambat,sakit tenggorokan,tubuh terasa sakit;faringitis,infeksi saluran napas akut;faringitis;0.54389
batuk,demam,kelelahan,paru-paru terhambat,sakit tenggorokan;infeksi saluran napas akut,tonsilitis/amandel;faringitis;0.54389
dehidrasi,demam,muntah,sakit kepala;diare akut,tonsilitis/amandel;diare akut;0.32978
kembung,mual,muntah,rasa asam di mulut,sakit kepala;maag,demam berdarah dengue;maag;0.42639
demam,gangguan keseimbangan,gangguan pendengaran,keluar cairan berulang kali,nyeri bagian telinga;otitis media efusi,otitis media supuratif kronik;otitis media supuratif kronik;0.57328
dehidrasi,kehilangan nafsu makan,kram perut,muntah;konstipasi/sembelit,diare akut;diare akut;0.34292
batuk,demam,hidung tersumbat,paru-paru terhambat,sakit tenggorokan;infeksi saluran napas akut,tonsilitis/amandel;faringitis;0.54389
kelelahan,mata berair,mata merah,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
demam tinggi,mual,muntah,sakit kepala;demam berdarah dengue,penyakit jantung koroner;demam berdarah dengue;0.38257
kehilangan nafsu makan,kelelahan,mata berair,mata merah;campak,hepatitis A;konjungtivitis/mata merah;0.35371
diare,kembung,kram perut,sembelit;demam tifoid,irritable bowel syndrome;irritable bowel syndrome;0.50652
mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,sakit kepala;maag,demam tifoid;maag;0.38111
dehidrasi,kehilangan nafsu makan,mual,muntah,sakit kepala;demam berdarah dengue,diare akut;diare akut;0.3393
bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,bersin-bersin,mata berair,mata merah;campak,rintis alergi;campak;0.38158
mual,muntah,nyeri dada kiri luas dan tiba-tiba,riwayat kolesterol tinggi / kencing manis;migrain,penyakit jantung koroner;penyakit jantung koroner;0.50652
kehilangan nafsu makan,kulit kekuningan,mual,muntah;migrain,hepatitis A;hepatitis A;0.45595
kehilangan nafsu makan,mual,muntah,nyeri kepala,pusing;penyakit jantung koroner,demam tifoid;hepatitis A;0.37434
batuk,bersin-bersin,demam,hidung berair,hidung tersumbat;rintis alergi,infeksi saluran napas akut;infeksi saluran napas akut;0.55245
jarang buang air besar dari intensitas biasanya,kehilangan nafsu makan,kram perut,tinja keras;konstipasi/sembelit,diare akut;konstipasi/sembelit;0.45322
mual,muntah,sensitif terhadap cahaya,sensitif terhadap suara;migrain,penyakit jantung koroner;migrain;0.44106
demam,kehilangan nafsu makan,kelelahan,mual,muntah,nyeri kepala;hepatitis A,diare akut;hepatitis A;0.53952
batuk,demam,sakit kepala,sakit saat menelan,sakit tenggorokan;infeksi saluran napas akut,tonsilitis/amandel;faringitis;0.54389
kembung,mual,muntah,sakit kepala;maag,demam tifoid;maag;0.39109
