muntah,mual;diare,lidah tertutup selaput putih kotor,mual,muntah;maag,demam tifoid;demam tifoid;0.37837
muntah,mual;bercak merah dan tidak gatal pada kulit,demam tinggi,mual,muntah;demam berdarah dengue,migrain;demam berdarah dengue;0.42515
lemas,penglihatan kabur;kencing lebih sering pada malam hari,lemas,penglihatan kabur,penurunan berat badan;diabetes melitus,hipertensi;diabetes melitus;0.46296
mata berair,sensitif terhadap cahaya;bersin-bersin,kehilangan nafsu makan,mata berair,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
mata berair,mata merah;bersin-bersin,mata berair,mata merah,sensitif terhadap cahaya;campak,konjungtivitis/mata merah;keratitis akut;0.38752
kram perut,kehilangan nafsu makan;dehidrasi,kehilangan nafsu makan,kram perut,muntah;konstipasi/sembelit,diare akut;diare akut;0.34292
muntah,sakit kepala,mual;mual,muntah,nyeri otot,nyeri untuk melirik,sakit kepala;maag,demam berdarah dengue;demam berdarah dengue;0.40019
muntah,mual;buang air besar lebih dari 2 kali sehari,kram perut,mual,muntah;penyakit jantung koroner,diare akut;diare akut;0.38158
muntah,sakit kepala,mual;bersendawa,mual,muntah,rasa asam di mulut,sakit kepala;maag,demam berdarah dengue;maag;0.41699
muntah,mual;bersendawa,mual,muntah,rasa asam di mulut;maag,migrain;maag;0.38111
muntah,mual,pusing;kehilangan nafsu makan,lidah tertutup selaput putih kotor,mual,muntah,pusing;penyakit jantung koroner,demam tifoid;hepatitis A;0.37434
nyeri kepala,muntah,kehilangan nafsu makan,mual,pusing;kehilangan nafsu makan,kelelahan,kulit kekuningan,mual,muntah,nyeri kepala,pusing;hepatitis A,demam tifoid;hepatitis A;0.53952
kelelahan,bersin-bersin;bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,bersin-bersin,demam tinggi,kelelahan;campak,infeksi saluran napas akut;campak;0.38158
kelelahan,bersin-bersin;bersin-bersin,hidung berair,kelelahan,tubuh terasa sakit;campak,infeksi saluran napas akut;infeksi saluran napas akut;0.36073
kelelahan,kehilangan nafsu makan;bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,kehilangan nafsu makan,kelelahan,mata berair;anemia,campak;anemia;0.29136
